name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Denton,2022-09-01,27.9,22.3,24.3,30.5,22.3,24.6,22.5,89.8,4.942,100,20.83,rain,0,0,53.6,12.9,177.5,1015.5,46.1,15.1,20.4,1.8,1,60,2022-09-01T07:02:51,2022-09-01T19:53:37,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D5204,72259453909,KAFW,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-02,29.3,22.9,25.7,33.3,22.9,26.9,22.2,81.7,0.488,100,20.83,rain,0,0,25.2,24.3,176.5,1014.3,41,16,79,6.8,7,75,2022-09-02T07:03:31,2022-09-02T19:52:19,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72259453909,KAFW,C3518,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-03,35.6,21.2,27.6,38.3,21.2,28.9,20.7,70.2,0,0,0,,0,0,29.9,18.2,23.3,1016.5,3.7,16,124.9,10.8,8,100,2022-09-03T07:04:10,2022-09-03T19:51:00,0.25,Clear,Clear conditions throughout the day.,clear-day,"E7108,72259453909,KAFW,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-04,32.9,21.3,25.5,36,21.3,26.1,20.1,73.8,0,0,0,rain,0,0,66.6,25.3,356.6,1014.6,10.3,16,42.9,3.7,2,75,2022-09-04T07:04:50,2022-09-04T19:49:41,0.3,Clear,Clear conditions throughout the day.,clear-day,"E7108,72259453909,KAFW,C3518,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-05,32.8,18.5,25.4,34.4,18.5,26.2,19.1,71.5,0,0,0,,0,0,48,35,173.5,1013.2,13,15.9,106.4,9.3,6,60,2022-09-05T07:05:29,2022-09-05T19:48:22,0.33,Clear,Clear conditions throughout the day.,clear-day,"72259453909,KAFW,C3518,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-06,34.3,20.2,26.8,36.3,20.2,27.7,19.1,66,0,0,0,rain,0,0,12.2,11,102.1,1015,17.6,16,99,8.5,5,60,2022-09-06T07:06:09,2022-09-06T19:47:02,0.37,Clear,Clear conditions throughout the day.,clear-day,"E7108,72259453909,KAFW,C3518,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-07,34.4,20.2,27.2,37.1,20.2,28,19.6,67.2,0,0,0,,0,0,35.3,20.7,21.9,1015.5,4.2,16,122.5,10.4,6,75,2022-09-07T07:06:48,2022-09-07T19:45:41,0.4,Clear,Clear conditions throughout the day.,clear-day,"E7108,72259453909,KAFW,C3518,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-08,32.2,20.8,26.5,33,20.8,26.9,18.2,63.1,0,0,0,,0,0,26,18,91.7,1011.4,18.2,16,98.1,8.4,6,30,2022-09-08T07:07:28,2022-09-08T19:44:21,0.44,Clear,Clear conditions throughout the day.,clear-day,"D5204,72259453909,KAFW,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-09,31.7,18.6,25.5,31.1,18.6,25.4,16.1,59.5,0,0,0,,0,0,31.7,16.3,129.9,1008.9,8.9,16,112.1,9.7,6,10,2022-09-09T07:08:07,2022-09-09T19:43:00,0.47,Clear,Clear conditions throughout the day.,clear-day,"E7108,72259453909,KAFW,C3518,KDTO,F7015,72259003927,KDFW,72258903991"
Denton,2022-09-10,31.7,14.6,23.7,31.1,14.6,23.6,15.1,63,0,0,0,,0,0,27.7,14.6,42.9,1013.7,7,16,115.6,9.9,7,10,2022-09-10T07:08:46,2022-09-10T19:41:39,0.5,Clear,Clear conditions throughout the day.,clear-day,"72259453909,KAFW,C3518,KDTO,F7015,72259003927,KDFW,72258903991"
